公司代號,公司名稱,當月營收,上月營收,上上月營收,上上上月營收,MOM,去年同期營收,YOY
程式執行時間,2021-08-04 00:31:36AM
,110年度,6月
1522,堤維西,"1,442,880","1,362,275","1,359,787","1,438,368",5.92,"1,221,037",18.17
1524,耿鼎,"170,815","165,284","121,778","172,805",3.35,"115,822",47.48
1525,江申,"133,340","123,191","116,157","121,493",8.24,"78,853",69.1
1526,日馳,"167,887","160,701","155,818","149,344",4.47,"104,035",61.38
1527,鑽全,"417,884","443,928","335,787","433,439",-5.87,"248,196",68.37
1528,恩德,"281,614","307,483","287,133","344,820",-8.41,"274,098",2.74
1529,樂士,"91,721","13,803","20,595","15,852",564.5,"65,063",40.97
1530,亞崴,"340,016","311,606","311,109","412,591",9.12,"298,809",13.79
1531,高林股,"285,602","213,474","260,585","265,125",33.79,"103,888",174.91
1532,勤美,"986,696","994,013","1,289,068","1,655,763",-0.74,"844,592",16.83
1533,車王電,"218,006","257,699","229,800","210,776",-15.4,"205,060",6.31
1535,中宇,"622,844","660,989","640,253","722,161",-5.77,"704,875",-11.64
1536,和大,"515,758","601,926","558,067","542,003",-14.32,"352,638",46.26
1537,廣隆,"688,504","644,513","611,767","646,022",6.83,"587,949",17.1
1538,正峰,"24,304","28,609","18,568","28,964",-15.05,"24,974",-2.68
1539,巨庭,"223,175","272,787","243,445","217,037",-18.19,"163,862",36.2
1540,喬福,"35,648","36,859","42,144","40,439",-3.29,"15,138",135.49
1541,錩泰,"439,989","491,464","475,146","474,909",-10.47,"425,913",3.3
1558,伸興,"812,459","643,327","800,381","933,640",26.29,"696,273",16.69
1560,中砂,"499,253","507,991","480,526","521,795",-1.72,"443,332",12.61
1568,倉佑,"154,483","120,537","155,613","164,783",28.16,"132,832",16.3
1582,信錦,"826,018","825,639","873,364","905,462",0.05,"808,462",2.17
1583,程泰,"595,592","567,389","594,390","693,407",4.97,"539,679",10.36
1587,吉茂,"209,596","195,806","221,466","200,002",7.04,"162,049",29.34
1589,永冠-KY,"779,538","678,178","777,036","762,001",14.95,"721,927",7.98
1590,亞德客-KY,"2,376,162","2,233,597","2,426,662","2,388,542",6.38,"1,688,835",40.7
1592,英瑞-KY,"80,120","82,178","83,962","153,016",-2.5,"482,218",-83.39
1597,直得,"165,908","162,123","161,737","154,057",2.33,"132,301",25.4
1598,岱宇,"819,589","959,845","1,004,666","1,275,903",-14.61,"903,905",-9.33
1603,華電,"152,772","161,627","148,748","327,643",-5.48,"252,991",-39.61
1604,聲寶,"788,114","838,750","683,761","670,122",-6.04,"764,012",3.15
1605,華新,"14,184,106","12,770,540","12,244,761","11,422,132",11.07,"8,812,556",60.95
1608,華榮,"935,989","880,343","808,397","915,976",6.32,"501,998",86.45
1609,大亞,"2,758,445","2,373,863","2,105,240","2,410,381",16.2,"1,478,283",86.6
1611,中電,"131,457","145,031","147,596","150,794",-9.36,"179,172",-26.63
1612,宏泰,"578,338","541,426","496,329","613,523",6.82,"429,605",34.62
1614,三洋電,"523,873","613,425","453,266","383,729",-14.6,"616,287",-15.0
1615,大山,"238,655","343,992","885,445","354,433",-30.62,"200,154",19.24
1616,億泰,"305,540","284,397","204,612","264,305",7.43,"185,338",64.86
1617,榮星,"457,023","392,786","445,931","438,642",16.35,"209,571",118.08
1618,合機,"131,414","445,601","176,037","203,031",-70.51,"144,734",-9.2
1626,艾美特-KY,"1,346,111","1,375,276","1,147,031","1,357,586",-2.12,"1,375,128",-2.11
1701,中化,"677,409","717,855","647,486","622,390",-5.63,"617,720",9.66
1702,南僑,"1,602,134","1,647,810","1,680,650","1,712,334",-2.77,"1,430,259",12.02
1707,葡萄王,"821,032","920,329","762,506","820,392",-10.79,"798,685",2.8
1708,東鹼,"440,138","292,402","415,078","306,096",50.52,"336,688",30.73
1709,和益,"812,640","899,382","754,119","884,697",-9.64,"807,252",0.67
1710,東聯,"2,197,770","2,476,338","2,601,336","2,707,364",-11.25,"1,614,180",36.15
1711,永光,"772,271","783,261","793,963","850,637",-1.4,"494,797",56.08
1712,興農,"1,675,034","1,543,796","1,509,545","1,806,822",8.5,"1,388,367",20.65
1713,國化,"56,432","51,729","47,429","52,974",9.09,"30,322",86.11
1714,和桐,"1,545,691","1,622,275","1,732,500","1,837,409",-4.72,"4,940,382",-68.71
1717,長興,"4,175,807","4,316,922","4,718,326","4,454,630",-3.27,"2,885,102",44.74
1718,中纖,"2,548,978","2,587,885","2,680,593","2,921,189",-1.5,"2,138,228",19.21
1720,生達,"315,438","443,535","390,132","394,959",-28.88,"358,120",-11.92
1721,三晃,"243,448","230,490","212,536","278,527",5.62,"219,356",10.98
1722,台肥,"1,027,962","728,505","858,319","963,772",41.11,"758,157",35.59
1723,中碳,"659,493","642,982","649,410","706,902",2.57,"422,791",55.99
1724,台硝,"170,732","161,593","206,642","166,484",5.66,"126,832",34.61
1725,元禎,"971,267","931,594","975,515","992,652",4.26,"545,441",78.07
1726,永記,"739,969","764,047","673,100","770,746",-3.15,"635,082",16.52
1727,中華化,"154,334","148,585","157,320","163,192",3.87,"134,801",14.49
1730,花仙子,"201,851","190,970","185,384","210,838",5.7,"271,707",-25.71
1731,美吾華,"94,571","99,623","116,540","93,247",-5.07,"93,039",1.65
1732,毛寶,"51,773","54,893","55,982","51,520",-5.68,"51,981",-0.4
1733,五鼎,"155,945","170,873","157,667","175,045",-8.74,"224,617",-30.57
1734,杏輝,"200,857","202,915","202,986","209,831",-1.01,"177,598",13.1
1735,日勝化,"308,415","275,343","286,670","305,493",12.01,"142,980",115.7
1736,喬山,"2,268,750","2,035,765","2,259,849","2,585,437",11.44,"2,138,651",6.08
1737,臺鹽,"313,844","362,608","309,644","290,340",-13.45,"277,394",13.14
1760,寶齡富錦,"179,623","254,243","99,343","110,681",-29.35,"79,654",125.5
1762,中化生,"230,689","189,610","79,533","136,367",21.66,"121,894",89.25
1773,勝一,"920,823","945,261","855,267","851,219",-2.59,"598,071",53.97
1776,展宇,"125,878","115,808","136,020","162,575",8.7,"77,665",62.08
1783,和康生,"48,042","43,113","29,919","48,641",11.43,"49,206",-2.37
1786,科妍,"53,961","42,418","30,424","57,676",27.21,"50,156",7.59
1789,神隆,"247,008","266,566","234,064","241,169",-7.34,"212,977",15.98
1795,美時,"1,361,956","1,156,527","1,157,472","1,100,414",17.76,"1,052,244",29.43
1802,台玻,"4,975,212","5,151,765","4,954,460","4,894,198",-3.43,"3,325,435",49.61
1805,寶徠,"6,239","3,456","46,952","3,788",80.53,4,155875.0
1806,冠軍,"283,015","273,149","272,636","232,084",3.61,"403,477",-29.86
1808,潤隆,"878,578","444,247","816,258","1,838,946",97.77,"642,535",36.74
1809,中釉,"166,368","189,192","178,576","190,185",-12.06,"120,378",38.2
1810,和成,"400,043","499,694","455,094","447,710",-19.94,"457,922",-12.64
1817,凱撒衛,"210,139","199,880","205,788","231,207",5.13,"201,584",4.24
1903,士紙,"13,814","72,120","13,658","90,359",-80.85,"12,104",14.13
1904,正隆,"3,892,284","3,929,849","3,720,469","3,883,294",-0.96,"3,555,049",9.49
1905,華紙,"1,882,754","1,920,789","1,937,683","2,071,320",-1.98,"1,439,364",30.8
1906,寶隆,"32,253","33,531","13,997","13,780",-3.81,"115,193",-72.0
1907,永豐餘,"7,461,567","7,763,627","7,325,248","7,669,058",-3.89,"5,510,681",35.4
1909,榮成,"4,924,748","5,212,273","3,813,448","3,255,271",-5.52,"3,533,899",39.36
2002,中鋼,"38,823,509","39,718,469","36,906,048","36,894,940",-2.25,"23,917,855",62.32
2006,東和鋼鐵,"4,879,623","4,969,569","5,071,187","4,969,779",-1.81,"3,409,050",43.14
2007,燁興,"598,924","602,404","552,310","569,411",-0.58,"419,890",42.64
2008,高興昌,"130,418","130,587","127,751","110,361",-0.13,"92,052",41.68
2009,第一銅,"289,521","270,259","242,517","303,843",7.13,"166,050",74.36
2010,春源,"2,321,306","2,256,068","2,204,533","2,065,788",2.89,"1,492,385",55.54
2012,春雨,"1,038,579","968,215","949,483","911,934",7.27,"655,513",58.44
2013,中鋼構,"1,236,313","1,180,440","1,083,852","1,332,159",4.73,"1,081,296",14.34
2014,中鴻,"4,834,658","4,551,071","4,011,635","3,947,393",6.23,"2,976,444",62.43
2015,豐興,"3,438,774","3,405,947","2,969,908","3,335,779",0.96,"2,167,521",58.65
2017,官田鋼,"408,357","369,782","406,409","379,823",10.43,"243,255",67.87
2020,美亞,"599,380","564,219","505,460","509,220",6.23,"419,651",42.83
2022,聚亨,"1,171,871","1,237,469","905,818","1,150,216",-5.3,"792,370",47.89
2023,燁輝,"8,508,687","7,556,716","7,040,344","6,732,701",12.6,"4,344,540",95.85
2024,志聯,"132,035","154,100","130,363","136,102",-14.32,"73,916",78.63
2025,千興,"86,583","62,440","83,818","157,861",38.67,"99,680",-13.14
2027,大成鋼,"8,834,458","8,127,299","8,504,918","8,108,971",8.7,"4,533,084",94.89
2028,威致,"1,054,936","1,168,458","1,002,548","1,130,308",-9.72,"613,291",72.01
2029,盛餘,"1,278,394","1,121,146","1,245,262","1,048,072",14.03,"777,851",64.35
2030,彰源,"1,314,622","1,308,810","1,131,432","1,211,788",0.44,"853,299",54.06
2031,新光鋼,"1,309,641","1,372,935","1,187,740","1,091,697",-4.61,"774,760",69.04
2032,新鋼,"248,788","350,601","276,624","277,664",-29.04,"274,877",-9.49
2033,佳大,"68,164","78,403","68,627","79,255",-13.06,"61,218",11.35
2034,允強,"1,721,703","1,440,575","1,268,314","1,415,329",19.51,"971,665",77.19
2038,海光,"803,879","803,225","805,877","930,624",0.08,"604,364",33.01
2049,上銀,"2,443,235","2,369,013","2,236,269","2,160,488",3.13,"2,020,307",20.93
2059,川湖,"474,943","506,542","508,572","475,181",-6.24,"382,734",24.09
2062,橋椿,"865,121","759,126","763,375","770,990",13.96,"612,766",41.18
2069,運錩,"1,221,264","1,235,547","975,613","959,883",-1.16,"534,702",128.4
2101,南港,"616,652","665,562","629,066","701,152",-7.35,"884,691",-30.3
2102,泰豐,"116,457","105,742","111,960","118,956",10.13,"463,549",-74.88
2103,台橡,"2,693,929","2,815,223","3,011,563","3,059,530",-4.31,"1,905,347",41.39
2104,國際中橡,"1,954,928","1,895,748","2,028,567","1,874,825",3.12,"1,175,306",66.33
2105,正新,"8,487,211","8,450,749","8,748,853","10,998,313",0.43,"8,071,980",5.14
